Rank,Contractor,TotalCost,NumProjects,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
166,GVDPM CONSTRUCTION CORP. (FORMERLY: ZM CONSTRUCTIO,512586107.66,5,248.20,1183254.24,0.00,High Risk
167,LANAO BUILDER AND ENTERPRISES,511241608.02,10,265.30,6641391.98,0.00,High Risk
168,HARDROCKPLATINUM DEVELOPMENT CORPORATION / C.T. LEONCIO CONSTRUCTION & TRADING,506257359.08,5,370.20,367632.37,0.00,High Risk
169,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC. / FS CO BUILDERS AND SUPPLY,504825525.85,6,273.17,2971193.28,0.00,High Risk
170,MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK,504092212.15,8,267.38,2041702.85,0.00,High Risk
171,ALCEL CONSTRUCTION,503303174.08,11,216.27,2066825.92,0.00,High Risk
172,JWU CONSTRUCTION AND SUPPLY,502366440.87,9,151.00,155329.07,0.00,High Risk
173,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),495043148.60,5,384.00,1851.40,0.00,High Risk
174,A.J. LAVA BUILDERS CORP. (FORMERLY: A.J. LAVA BUIL,486479801.07,10,235.10,18166766.93,0.00,High Risk
175,N.B. AVILA CONSTRUCTION,486216847.03,7,249.00,1059514.18,0.00,High Risk
176,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),484683792.07,9,367.78,56030.30,0.00,High Risk
177,E. GARCIA CONSTRUCTION CORP.(FOR. E. GARCIA CONST,483588072.75,7,381.29,597.28,0.00,High Risk
178,PANAY EAST COAST CONSTRUCTION & SUPPLY,479784140.02,14,329.00,3837343.39,0.00,High Risk
179,"MAV CONSTRUCTION SUPPLY AND POWER DEVELOPMENT / C.R. DOMINGO CONSTRUCTION AND POWER DEVELOPMENT, INC. (FOR. C.R. DOMINGO CONSTRUCTION, INC.)",479218165.78,5,174.60,76395.30,0.00,High Risk
180,JLP CONSTRUCTION & SUPPLY (FORMERLY: JLP CONSTRUCT,474862962.08,12,228.83,2160743.57,0.00,High Risk
181,GOLDRICH CONSTRUCTION & TRADING,469534007.87,8,265.12,49001302.13,0.00,High Risk
182,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),468238111.16,14,296.57,7183571.03,0.00,High Risk
183,MARCUS CONSTRUCTION & SUPPLY,467469352.21,9,377.89,-590047.23,0.40,High Risk
184,J.G. GARCIA CONSTRUCTION & SUPPLY (FOR: J.G. GARCIA CONST.),466984333.48,14,225.21,4357220.18,0.00,High Risk
185,KLDS TRADING & CONSTRUCTION,461799932.08,7,381.86,2659904.68,0.00,High Risk
186,LABB CONSTRUCTION DEVELOPMENT INC. (FORMERLY: LABB CONSTRUCTION),461716066.08,8,337.25,1015564.96,0.00,High Risk
187,I.A . BOSQUE CONSTRUCTION CORPORATION,455639995.57,9,313.33,-60.06,0.00,High Risk
